#############################################,,,,,,,,,,
# Title : Outcrops,,,,,,,,,,
# Description : Geographic location and stratigraphic member affiliation and type of outcrops,,,,,,,,,,
# Date : 26/11/2014,,,,,,,,,,
# Author :Jérémy Ragusa,,,,,,,,,,
#############################################,,,,,,,,,,
# Caption :,,,,,,,,,,
# key : generic key for relation with others databases,,,,,,,,,,
# GPS location uses WGS84 system,,,,,,,,,,
# marker-color and marker-symbol : parameter to display marker using GeoJSON file,,,,,,,,,,
#############################################,,,,,,,,,,
title,title_french,longitude,latitude,sector,stratigraphy_formation,stratigraphy_member,marker-color,marker-symbol,type,comments
Curseilles stream (section 2),Torrent de Curseilles (section 2),6,46,Voirons-E,Voirons Flysch,Voirons Sandstones,F1C542,d,stream,
Curseilles stream (section 3),Torrent de Curseilles (section 3),6,46,Voirons-E,Voirons Flysch,Voirons Sandstones – Vouan Conglomerates,F1C542,e,stream,
Curseilles stream (section 4),Torrent de Curseilles (section 4),"6,371","46,2004",Voirons-E,Voirons Flysch,Voirons Sandstones – Vouan Conglomerates,F1C542,f,stream,
Molertaz stream,Torrent de la Molertaz,"6,3716","46,1828",Voirons-E,Voirons Flysch,Vouan Conglomerates,F1C542,g,stream,
Saint-André quarry,Carrière de Saint-André,"6,3719","46,1808",Voirons-E,Voirons Flysch,Vouan Conglomerates,F1C542,h,quarry,
Le Planet,,"6,3627","46,1952",Voirons-E,Voirons Flysch,Voirons Sandstones,F1C542,i,bank,
La Maisonnée,,"6,351","46,1759",Voirons-E,Voirons Flysch,Voirons Sandstones,F1C542,j,bank,
Bons quarry,Carrière de Bons,"6,391","46,256",Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,1,quarry,
Saxel lower quarry,Carrière inférieure de Saxel,"6,3829","46,249",Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,2,quarry,
Road D20 – embankment 820,D20 – talus 820,"6,3878","46,25",Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,3,bank,
Saxel upper quarry,Carrière supérieure de Saxel,"6,3958","46,2522",Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,4,quarry,
Road D20 – embankment 890,D20 – talus 890,"6,3966","46,2526",Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,5,bank,
Road D20 – embankment 902,D20 – talus 902,"6,401","46,253",Voirons-NW,Voirons Flysch,Vouan Conglomerates,A74C44,6,bank,
Les Grands Bois 1,,6,46,Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,7,bank,
Les Grands Bois 2,,6,46,Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,8,bank,
La Moutonnière,,"6,3602","46,2382",Voirons-NW,Voirons Flysch,Voirons Sandstones,A74C44,9,bank,
Voirons crest 1,Crête des Voirons 1,"6,3543","46,2281",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,1,cliff,
Voirons crest 2,Crête des Voirons 2,"6,3537","46,2267",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,2,cliff,
Voirons crest 3,Crête des Voirons 3,"6,3535","46,2251",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,3,trail,
Voirons crest 4,Crête des Voirons 4,"6,3534","46,2238",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,4,trail,
Voirons crest 5,Crête des Voirons 5,"6,3534","46,2235",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,5,cliff,
Voirons crest 6,Crête des Voirons 6,"6,3533","46,2174",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,6,trail,
Voirons crest 7,Crête des Voirons 7,"6,3542","46,2161",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,7,trail,
Signal des Voirons,,"6,3552","46,2304",Voirons-W,Voirons Flysch,Conglomerates of the Voirons Sandstones,F58848,a,trail,
Saut de la Pucelle,,"6,3531","46,2244",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,b,cliff,
Pointe de Brantaz,,"6,3554","46,2147",Voirons-W,Voirons Flysch,Conglomerates of the Voirons Sandstones,F58848,c,trail,
Le Pralère,,"6,3488","46,1979",Voirons-W,Voirons Flysch,Conglomerates of the Voirons Sandstones,F58848,d,trail,
Roche aux Corbeaux,,"6,3476","46,1957",Voirons-W,Voirons Flysch,Voirons Sandstones,F58848,e,cliff,
Chauffemérande stream,Torrent de Chauffemérande,"6,3893","46,1695",Vouan-E,Voirons Flysch,Boëge Marls,D9B391,1,stream,
Fillinges quarry (Main quarry),Carrière de Fillinges (carrière principale),"6,3727","46,1538",Vouan-W,Voirons Flysch,Voirons Sandstones,A67563,1,quarry,
Fillinges quarry (Secondary quarry),Carrière de Fillinges (carrière secondaire),"6,3714","46,1544",Vouan-W,Voirons Flysch,Voirons Sandstones,A67563,2,quarry,
Chez les Bourguignons,,"6,3724","46,1604",Vouan-W,Voirons Flysch,Voirons Sandstones,A67563,3,bank,
Grande Gueule gind quarry,Meulière de la Grande Gueule,"6,3806","46,168",Vouan-W,Voirons Flysch,Vouan Conglomerates,A67563,4,quarry,
Vachat grind quarry,Meulière à Vachat,"6,3765","46,1758",Vouan-W,Voirons Flysch,Vouan Conglomerates,A67563,5,quarry,
